Forum Confirm (y/n),Mod Check (y/n),Timestamp,TankTrouble Username:,Signing up:,Policies,Select each half hour interval (UTC) on which you are available: [Sunday],Select each half hour interval (UTC) on which you are available: [Monday],Select each half hour interval (UTC) on which you are available: [Tuesday],Select each half hour interval (UTC) on which you are available: [Wednesday],Select each half hour interval (UTC) on which you are available: [Thursday],Select each half hour interval (UTC) on which you are available: [Friday],Select each half hour interval (UTC) on which you are available: [Saturday],Enter your timezone:,Enter your country:,Special Occasions:,Rank the servers based on your usual ping: [Atlanta],Rank the servers based on your usual ping: [Dallas],Rank the servers based on your usual ping: [Fremont],Rank the servers based on your usual ping: [London],Rank the servers based on your usual ping: [Newark],Rank the servers based on your usual ping: [Singapore],Rank the servers based on your usual ping: [Sydney]
y,n 5k,8/13/2021 3:12:27,Youmaghn2,As a Player only,"I understand that any player watching my match can remove me from TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I am applying for the Classic gamemode., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that my opponent will organize our match time for us., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community.","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00",UTC+2,France,N/A,50 - 100ms,100 - 150ms,100 - 150ms,0 - 50ms,100 - 150ms,200ms+,200ms+
y,y,8/13/2021 3:14:18,lifti,As a Player only,"I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that I am applying for the Classic gamemode., I understand that any player watching my match can remove me from TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that my opponent will organize our match time for us.","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00",UTC+2,France,N/A,100 - 150ms,100 - 150ms,150 - 200ms,0 - 50ms,50 - 100ms,200ms+,200ms+
y,y,8/13/2021 3:19:49,RahulTheGamer,As a Player and Spectator,"I understand that I cannot leave a match for more than 10 total minutes., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that I am applying for the Classic gamemode.","05:30, 06:00","05:30, 06:00","05:30, 06:00","05:30, 06:00","05:30, 06:00","05:30, 06:00","05:30, 06:00",IST,India,N/A,200ms+,200ms+,200ms+,100 - 150ms,150 - 200ms,50 - 100ms,150 - 200ms
y,y,8/13/2021 4:14:50,draculous,As a Spectator only,"I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that I cannot leave a match for more than 10 total minutes., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I am applying for the Classic gamemode., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community.","12:00, 12:30","04:30, 05:00, 05:30","06:00, 06:30","04:30, 05:00, 05:30","06:00, 06:30","06:00, 06:30","10:00, 10:30, 11:00",IST,India,N/A,200ms+,200ms+,200ms+,150 - 200ms,200ms+,50 - 100ms,200ms+
y,y,8/13/2021 4:56:46,scrappyyard,As a Player only,"I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them.","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30",BST,England,Might be offline for the flight back to New Zealand in 3 months. ,100 - 150ms,100 - 150ms,150 - 200ms,0 - 50ms,50 - 100ms,200ms+,200ms+
n,n,8/13/2021 5:01:45,-Moonlight-,As a Spectator only,"I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I am applying for the Classic gamemode., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I cannot leave a match for more than 10 total minutes., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them.","13:00, 17:30, 19:00","13:00, 17:30, 19:00","13:00, 17:30, 19:00","13:00, 17:30, 19:00","13:00, 17:30, 19:00","13:00, 17:30, 19:00","13:00, 17:30, 19:00",British UK ,England,N/A,100 - 150ms,100 - 150ms,200ms+,50 - 100ms,50 - 100ms,200ms+,200ms+
y,y,8/13/2021 5:07:52,SavageAimbot,As a Spectator only,"I understand that I am applying for the Classic gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC.","02:00, 02:30","02:00, 02:30, 12:30, 13:00, 13:30, 14:00","02:00, 02:30","02:00, 02:30, 12:30, 13:00, 13:30, 14:00","02:00, 02:30, 12:30, 13:00","02:00, 02:30, 12:30, 13:00, 13:30, 14:00","02:00, 02:30, 12:30, 13:00, 13:30, 14:00",AEST (Australian Eastern Standard Time),Australia,14/08 & 15/08 | No | Whole Day,200ms+,200ms+,200ms+,200ms+,200ms+,50 - 100ms,50 - 100ms
y,y,8/13/2021 5:35:42,Turbo-Rambo,As a Player and Spectator,"I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I am applying for the Classic gamemode., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community.","21:30, 22:00, 22:30","14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00","14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00","14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00","14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00","14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00","21:30, 22:00, 22:30",CEST ( UTC + 2),Czech Republic,N/A,100 - 150ms,150 - 200ms,150 - 200ms,0 - 50ms,100 - 150ms,200ms+,200ms+
y,n,8/13/2021 5:37:47,MightyIronCrusader,As a Player only,"I understand that I cannot leave a match for more than 10 total minutes., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that my opponent will organize our match time for us., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I am applying for the Classic gamemode., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match.",00:00,00:30,00:30,00:30,00:30,00:30,00:30,UTC,Pakistan,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,150 - 200ms,200ms+
y,n,8/13/2021 5:59:43,Brutank,As a Spectator only,"I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that my opponent will organize our match time for us., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Classic gamemode., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that any player watching my match can remove me from TTOC.","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00","07:30, 08:00",UTC+2,FRANCE,N/A,100 - 150ms,100 - 150ms,100 - 150ms,0 - 50ms,0 - 50ms,200ms+,200ms+
y,n,8/13/2021 6:12:08,MightyIronCrusader,As a Player only,"I understand that my opponent will organize our match time for us., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that I am applying for the Classic gamemode., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I am applying for the Target gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that any player watching my match can remove me from TTOC.","02:00, 02:30, 10:00, 10:30","10:00, 10:30","10:00, 10:30","10:00, 10:30","10:00, 10:30","10:00, 10:30","10:00, 10:30",UTC,Pakistan,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,150 - 200ms,200ms+
y,n,8/13/2021 6:26:27,MightyIronCrusader,As a Player only,"I understand that I am applying for the Classic gamemode., I understand that any player watching my match can remove me from TTOC., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that my opponent will organize our match time for us., I understand that I am applying for the Target gamemode., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them.","00:00, 00:30","09:30, 10:00","09:30, 10:00","09:30, 10:00","09:30, 10:00","09:30, 10:00","09:30, 10:00",UTC,Pakistan,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,150 - 200ms,200ms+
y,y,8/13/2021 7:01:13,Flam3BladeFir3,As a Player only,"I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I am applying for the Target gamemode., I understand that any player watching my match can remove me from TTOC., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I cannot leave a match for more than 10 total minutes., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that my opponent will organize our match time for us., I understand that I am applying for the Classic gamemode., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match.","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00",11:59,england,13.8 2021,150 - 200ms,150 - 200ms,150 - 200ms,50 - 100ms,100 - 150ms,200ms+,200ms+
y,y,8/13/2021 7:59:48,peepeepoopooman42069,As a Player only,"I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I cannot leave a match for more than 10 total minutes., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I am applying for the Classic gamemode., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC.","00:00, 00:30, 01:00, 01:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30",British Summer Time,United Kingdom,N/A,150 - 200ms,150 - 200ms,150 - 200ms,0 - 50ms,50 - 100ms,200ms+,200ms+
y,n,8/13/2021 9:50:34,MightyIronCrusader,As a Player only,"I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I am applying for the Classic gamemode., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Target gamemode., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that my opponent will organize our match time for us., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community.","02:00, 02:30","09:30, 10:00","09:30, 10:00","09:30, 10:00","09:30, 10:00","09:30, 10:00","09:30, 10:00",UTC,Pakistan,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,150 - 200ms,200ms+
n,n,8/13/2021 10:09:02,HA10,As a Player only,"I understand that any player watching my match can remove me from TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that I cannot leave a match for more than 10 total minutes., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I am applying for the Classic gamemode., I understand that I am applying for the Target gamemode., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that my opponent will organize our match time for us.","00:00, 00:30, 01:00, 01:30, 02:00",00:00,00:00,00:00,00:00,"03:00, 04:00","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00",Est,US,N/A,50 - 100ms,50 - 100ms,100 - 150ms,100 - 150ms,50 - 100ms,150 - 200ms,150 - 200ms
n,5k 3m,8/13/2021 10:24:59,levrailaika,As a Player only,"I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC.","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 09:00, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 09:00, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 09:00, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30",heure d’été d’Europe centrale,france,N/A,0 - 50ms,0 - 50ms,0 - 50ms,0 - 50ms,0 - 50ms,0 - 50ms,0 - 50ms
y,n,8/13/2021 10:40:13,EPICGIRL,As a Spectator only,"I understand that any player watching my match can remove me from TTOC., I understand that my opponent will organize our match time for us., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I am applying for the Target gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag.","10:30, 11:30","10:30, 11:30","10:30, 11:30","10:30, 11:30","10:30, 11:30","10:30, 11:30","10:30, 11:30",UTC,Pakistan,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,150 - 200ms,200ms+
y,y,8/13/2021 10:43:09,Symbiote,As a Spectator only,"I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I am applying for the Classic gamemode., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag.",00:00,"08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00","08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00","08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00","08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00","08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00",00:00,12:00 or 12:30 am around there ,Arkansas,N/A,200ms+,0 - 50ms,100 - 150ms,50 - 100ms,0 - 50ms,200ms+,200ms+
y,y,8/13/2021 11:17:36,Fondest,As a Player and Spectator,"I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I am applying for the Classic gamemode., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that I am applying for the Target gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that any player watching my match can remove me from TTOC., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that my opponent will organize our match time for us.","02:30, 03:00, 03:30, 04:00","02:30, 03:00, 03:30, 04:00","02:30, 03:00, 03:30, 04:00","02:30, 03:00, 03:30, 04:00","02:30, 03:00, 03:30, 04:00","02:30, 03:00, 03:30, 04:00","02:30, 03:00, 03:30, 04:00",EST,United Sates,N/A,0 - 50ms,0 - 50ms,50 - 100ms,100 - 150ms,0 - 50ms,200ms+,200ms+
n,n,8/13/2021 11:27:10,_-YourDestruction-_,As a Player only,"I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I am applying for the Classic gamemode., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I am applying for the Target gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that my opponent will organize our match time for us., I understand that any player watching my match can remove me from TTOC.","16:00, 16:30, 17:00",17:00,"16:30, 17:00","16:30, 17:00","16:30, 17:00","16:30, 17:00","16:00, 16:30, 17:00",GMT+1,England,N/A,100 - 150ms,100 - 150ms,150 - 200ms,50 - 100ms,100 - 150ms,150 - 200ms,200ms+
